,EP,BP,SP,MOM_12_1,REV_1M,ROE_TTM,GPM_change,VOL_20D,IVOL,TURN_1M,AMIHUD
2017-11,0.02554638069500105,-0.13923644420061584,0.07195007354368373,0.17782851955785106,0.06840920130920532,0.12764126617520005,0.020673335159545447,-0.07956988726175754,0.025864360792268542,-0.15856087078985617,-0.10471966051501524
2017-12,0.0068715943232927935,-0.14858182382718546,0.09106168445361938,0.181304130657974,0.0902602796059936,0.13890432507921865,0.051245195558305146,-0.02582170785065071,-0.0012277855289694816,-0.13602992681731696,-0.1286915462974738
2018-01,0.010506359982278363,-0.17131347685707582,0.07215159638127416,0.16839186182097515,0.09505918815265187,0.14957677458689356,0.05443500851283088,0.004109218496745075,-0.028031930165986388,-0.15042936911846094,-0.0959952159248277
2018-02,0.02666872715077278,-0.16200073122388406,0.05081047258618666,0.1679564132346426,0.08783058635697123,0.17369150487181323,0.04175264515335679,-0.02581504866742945,0.00933734697412057,-0.16235083171537967,-0.09178569206544297
2018-03,0.011390742898653453,-0.20162053175099923,0.04788252225286054,0.1469885857854519,0.11112318366758425,0.1730015732651677,0.012568892310444538,-0.020551287713229626,0.05303560265345478,-0.1867444561754258,-0.03509262152672816
2018-04,0.030506124301489298,-0.2338772107426224,0.039732564799406185,0.1809738497332164,0.05600283681685551,0.1690021863430642,0.021921409363380724,-0.028806850755161484,0.057764901854442344,-0.16947805557037873,-0.01193400971998272
2018-05,0.08274925564030727,-0.2204109297558118,0.054377175483667904,0.1283289021187987,-0.03818381523923451,0.17123209751874693,-0.027872465344897623,-0.046366906371020054,-0.00890001134269278,-0.14955431569794983,0.07202412548687251
2018-06,0.06157452182591657,-0.22367421212354938,0.01717242395160188,0.12929805791453844,-0.016474449999345567,0.16842776540898743,-0.06428749575052019,-0.06863602705617662,0.06292799352018544,-0.13113853908601902,0.0563885133631595
2018-07,0.076232093743547,-0.21028778476037052,0.09765269922181846,0.1451306461774549,-0.00039386852131799964,0.18404466385769022,-0.07057015012067568,-0.045719032089958124,0.035076856700588716,-0.12082051914398786,0.014071685662590785
2018-08,0.04338600057168363,-0.17410469405447923,0.12260420575806508,0.1664010746965455,0.06652995273134113,0.13367906396603366,-0.05015176919591665,-0.1045574448290997,0.001123588259779193,-0.112248213743208,-0.02521399219384834
2018-09,0.054958755401178117,-0.14729780297899206,0.13647556655374243,0.19470420195216817,0.07004547240730478,0.12388633360292162,-0.04687009369308306,-0.05769440895455373,-0.004034915424226579,-0.1239311841889325,-0.040101264842896965
2018-10,0.07817653455961673,-0.11721006922378134,0.1283588222996954,0.14166456208200542,0.06392886313883914,0.0713259905684063,-0.0759422725410936,-0.16124930683857755,0.026808340052946876,-0.13528998867703612,4.525001800150649e-05
2018-11,0.04910949219547446,-0.07977618101024717,0.07149471373019166,0.15146464394783365,-0.010899574656188361,0.057382450666025625,-0.09050581529150796,-0.14766378100551744,0.05919657773227057,-0.18414922528785432,0.09835754447688876
