year_month,stock_code,ret_next_month,dominant_factor
2020-05,002028,0.1682210608379291,VOL_SPIKE_6M
2020-05,300316,0.1612392004498746,BIAS_20
2020-05,000975,-0.019374333451830705,VOL_SPIKE_6M
2020-05,300394,0.2871182586094867,BIAS_20
2020-06,002920,0.1558856412713625,BIAS_20
2020-06,688012,0.004924536044867978,VOL_SPIKE_6M
2020-06,300759,0.0678824721377913,VOL_SPIKE_6M
2020-06,600600,0.08490927187811015,BIAS_20
2020-06,300413,0.044158398140698996,BIAS_20
2020-06,600515,0.32649572649572645,BIAS_20
2020-06,601689,0.21904984788205017,RET_6M
2020-06,002460,0.04966400877691357,RET_6M
2020-06,601012,0.3945403168836412,UPSHADOW_20
2020-06,601100,0.1323277529145257,RET_6M
2020-07,300759,0.04924098671726762,BIAS_20
2020-07,300059,-0.019128415212412486,BIAS_20
2020-07,603893,-0.1770581432026076,BIAS_20
2020-07,300014,-0.1858839124022179,RET_6M
2020-07,000661,-0.05915578076333039,BIAS_20
2020-07,300347,0.03992735045929141,BIAS_20
2020-07,600161,-0.1470882221777976,RET_6M
2020-07,601788,-0.08712121212121204,VOL_SPIKE_6M
2020-07,300502,-0.07551118982450489,BIAS_20
2020-07,300394,-0.058904764434057455,BIAS_20
2020-08,002625,-0.03542361574382924,BIAS_20
2020-08,002352,-0.045849535080304316,UPSHADOW_20
2020-08,300122,0.030777063801397553,BIAS_20
2020-08,002028,-0.0721186073104374,BIAS_20
2020-08,000807,-0.1880568263905611,VOL_SPIKE_6M
2020-08,300124,0.03763077025482864,UPSHADOW_20
2020-08,300059,-0.08294692186266761,RET_6M
2020-08,600176,-0.027584335714931685,BIAS_20
2020-08,002920,0.019969062016593986,RET_6M
2020-08,300394,-0.15605598826052602,RET_6M
2020-09,600926,0.10113237016790322,VOL_SPIKE_6M
2020-09,600346,0.03986675263271011,VOL_SPIKE_6M
2020-09,600436,-0.057622709794164284,RET_6M
2020-09,600176,-0.03394717261904756,VOL_SPIKE_6M
2020-09,601012,0.015754503733132363,RET_6M
2020-09,302132,0.0,VOL_SPIKE_6M
2020-09,601919,0.14046822742474907,VOL_SPIKE_6M
2020-09,002352,0.0197030369609128,BIAS_20
2020-09,601838,0.04800724637681175,VOL_SPIKE_6M
2020-09,601628,0.03707782672540394,VOL_SPIKE_6M
2020-10,002709,0.26433621366849946,BIAS_20
2020-10,300274,0.23770242530221242,BIAS_20
2020-10,601012,-0.09593364353631395,VOL_SPIKE_6M
2020-10,601633,0.1758601240834743,BIAS_20
2020-10,002594,0.07718264924228468,BIAS_20
2020-10,300122,-0.22018457345164222,RET_6M
2020-10,601878,0.1095890410958904,BIAS_20
2020-10,002625,0.046564885496183095,RET_6M
2020-10,600438,0.0032780045892064624,RET_6M
2020-10,300316,-0.03308795913768503,VOL_SPIKE_6M
2020-11,300274,0.5039466814091345,VOL_SPIKE_6M
2020-11,002594,0.12866662869510748,VOL_SPIKE_6M
2020-11,000625,-0.13379387413013666,VOL_SPIKE_6M
2020-11,002709,0.3209692451071764,VOL_SPIKE_6M
2020-11,600438,0.24804704903911845,RET_6M
2020-11,601919,0.22995169082125622,BIAS_20
2020-11,600809,0.5592884222805483,RET_6M
