year_month,stock_code,ret_next_month,dominant_factor
2025-01,601077,-0.0630952380952381,BIAS_20
2025-01,000100,-0.07770632368703101,VOL_SPIKE_6M
2025-01,600482,-0.11053805408419282,UPSHADOW_20
2025-01,600066,-0.07511220411927455,BIAS_20
2025-01,600600,0.0022859845498974796,BIAS_20
2025-01,002384,-0.04298785297365515,RET_6M
2025-01,000895,0.019724130528123718,VOL_SPIKE_6M
2025-02,603296,-0.09265022743595885,VOL_SPIKE_6M
2025-02,300251,-0.11627073201147275,VOL_SPIKE_6M
2025-02,002384,0.021223110525014466,BIAS_20
2025-02,000895,0.0033421932156108003,BIAS_20
2025-02,601808,-0.024726854514088514,VOL_SPIKE_6M
2025-02,688082,-0.045222870910944235,UPSHADOW_20
2025-02,000157,-0.059998576208443066,BIAS_20
2025-02,000100,-0.03718768158047647,RET_6M
2025-02,301269,0.0775886128942227,BIAS_20
2025-02,601728,0.013245033112582627,UPSHADOW_20
2025-03,000157,-0.02526468850820207,BIAS_20
2025-03,300014,-0.12799418740917834,UPSHADOW_20
2025-03,603369,-0.10360240160106737,BIAS_20
2025-03,002709,-0.06221429367822495,BIAS_20
2025-03,600588,-0.03121335244435497,RET_6M
2025-03,688047,0.041820516936907914,RET_6M
2025-03,000338,-0.073742621657645,BIAS_20
2025-03,300316,-0.142594296228151,BIAS_20
2025-03,000596,-0.03441813470658217,UPSHADOW_20
2025-03,600346,-0.005185573617665806,UPSHADOW_20
2025-04,688506,0.052782438478747196,UPSHADOW_20
2025-04,600027,0.024525316455696,BIAS_20
2025-04,688187,-0.03390548845094288,VOL_SPIKE_6M
2025-04,301269,0.06731894965713336,RET_6M
2025-04,600588,-0.10554631712804463,VOL_SPIKE_6M
2025-04,002384,0.09082091076169085,RET_6M
2025-04,000651,0.04100870465526474,BIAS_20
2025-04,603799,-0.01415867072314525,VOL_SPIKE_6M
2025-04,601838,0.14186248912097477,UPSHADOW_20
2025-04,600600,-0.003020035356511519,BIAS_20
2025-05,603986,0.1267171469672299,RET_6M
2025-05,688506,-0.016800584368151905,RET_6M
2025-05,601077,-0.0009920634920634885,BIAS_20
2025-05,301269,-0.025072475123403493,RET_6M
2025-05,600027,-0.06486486486486487,VOL_SPIKE_6M
2025-05,600926,0.009528346831824797,VOL_SPIKE_6M
2025-05,002625,-0.09875965363912953,BIAS_20
2025-05,600887,-0.04113257956199057,BIAS_20
2025-05,600219,0.02119907254057618,BIAS_20
2025-05,300418,0.0062837288386190515,UPSHADOW_20
2025-06,688506,0.0380926651357556,RET_6M
2025-06,601838,-0.03713235294117645,BIAS_20
2025-06,000661,0.08959064327485389,VOL_SPIKE_6M
2025-06,600015,0.004953560371516952,VOL_SPIKE_6M
2025-06,002625,0.02203509292577066,BIAS_20
2025-06,601336,0.1413640627093664,UPSHADOW_20
2025-06,000001,0.013255051061215495,UPSHADOW_20
2025-06,601939,-0.0030355594102341454,RET_6M
