month,stock_code,top_risk_score,rank_in_topn
2023-08,601136,1.0070699901954963,4
2023-08,601127,0.940114351678514,5
2023-08,300803,0.8816659373516259,6
2023-08,000977,0.6149341337731021,7
2023-08,002028,0.518196637710603,8
2023-08,601995,0.4987427241236767,9
2023-08,688256,0.47981149990310823,10
2023-09,300803,0.8336725302518966,1
2023-09,601825,0.5128759052755185,2
2023-09,688506,0.5078872690580969,3
2023-09,600918,0.4990096728967079,4
2023-09,300251,0.4114559126991991,5
2023-09,600160,0.3740383791294131,6
2023-09,601127,0.35884681870735924,7
2023-09,002028,0.305506670010416,8
2023-09,600015,0.27344968848049583,9
2023-09,601236,0.24023354661774096,10
2023-10,601127,1.9894290769588299,1
2023-10,601898,1.3067321491234598,2
2023-10,301236,1.0316346427344878,3
2023-10,601808,0.8359400579728837,4
2023-10,688506,0.5938069224372329,5
2023-10,600015,0.46939029002308186,6
2023-10,300347,0.42542210252825546,7
2023-10,601825,0.33662605352858876,8
2023-10,301269,0.3290677532343321,9
2023-10,600803,0.22942802953257413,10
2023-11,301236,1.891993440739978,1
2023-11,002241,1.2964554967849804,2
2023-11,601077,0.9829541956591954,3
2023-11,002384,0.4929075550126186,4
2023-11,601898,0.4659121330739037,5
2023-11,300661,0.45085692077394673,6
2023-11,600918,0.3108543597011417,7
2023-11,603288,0.24170715985711816,8
2023-11,600482,0.22146303991580818,9
2023-11,300347,0.2214070115582124,10
2023-12,688506,1.353769153629275,1
2023-12,300759,1.0268784470217724,2
2023-12,601898,1.0097704179549172,3
2023-12,600015,0.7311692829431032,4
2023-12,300661,0.6861810367531611,5
2023-12,000166,0.5524706610817324,6
2023-12,601238,0.4603439994116507,7
2023-12,600918,0.3335374007456354,8
2023-12,601808,0.3195334152196053,9
2023-12,601825,0.16632288893171096,10
2024-01,301236,2.281538564759839,1
2024-01,601898,0.9173151776215844,2
2024-01,002625,0.8107517026535911,3
2024-01,600183,0.6885048089647428,4
2024-01,601059,0.5290019450631092,5
2024-01,600219,0.4339983929676365,6
2024-01,600803,0.42146180860893406,7
2024-01,688047,0.3829168881861113,8
2024-01,002709,0.31671755730470186,9
2024-01,300759,0.27541262491519314,10
2024-02,601898,1.9673061512083156,1
2024-02,600015,0.9381548089156259,2
2024-02,688506,0.8148160780068829,3
2024-02,601825,0.7631608681621502,4
