year_month,weight_mode,BIAS_20_weight,UPSHADOW_20_weight,VOL_SPIKE_6M_weight,RET_6M_weight
2018-09,walk_forward,0.06521739130434778,0.0,0.038461538461538436,0.08730158730158732
2018-10,walk_forward,0.06862745098039214,0.0641025641025641,0.0636363636363636,0.11194029850746268
2018-11,walk_forward,0.0636363636363636,0.08139534883720934,0.0423728813559322,0.10273972602739723
2018-12,walk_forward,0.06896551724137934,0.08333333333333337,0.06451612903225812,0.125
2019-01,walk_forward,0.03125,0.07407407407407407,0.05384615384615388,0.10240963855421692
2019-02,walk_forward,0.014705882352941124,0.04385964912280704,0.050724637681159424,0.07471264367816088
2019-03,walk_forward,0.007042253521126751,0.01666666666666672,0.013513513513513487,0.0714285714285714
2019-04,walk_forward,0.00666666666666671,0.024590163934426257,0.02564102564102566,0.061224489795918324
2019-05,walk_forward,0.025000000000000022,0.032258064516129004,0.04878048780487809,0.06862745098039214
2019-06,walk_forward,0.0060240963855421326,0.007462686567164201,0.04117647058823526,0.07547169811320753
2019-07,walk_forward,0.005617977528089901,0.007042253521126751,0.0393258426966292,0.06880733944954132
2019-08,walk_forward,-0.010638297872340441,0.006849315068493178,0.021739130434782594,0.0431034482758621
2019-09,walk_forward,-0.0050505050505050275,-0.006666666666666654,0.02631578947368418,0.025000000000000022
2019-10,walk_forward,-0.019607843137254888,-0.006329113924050611,0.010000000000000009,0.027559055118110187
2019-11,walk_forward,0.0,0.0,0.004950495049504955,0.02238805970149249
2019-12,walk_forward,-0.013274336283185861,-0.017647058823529405,-0.009615384615384637,-0.003546099290780147
2020-01,walk_forward,-0.004347826086956497,-0.017647058823529405,-0.023364485981308414,-0.02941176470588236
2020-02,walk_forward,0.008333333333333304,-0.017241379310344807,-0.023364485981308414,-0.03416149068322982
2020-03,walk_forward,0.020325203252032575,-0.017241379310344807,-0.004504504504504514,-0.011627906976744207
2020-04,walk_forward,0.015625,-0.022727272727272707,-0.008928571428571452,-0.03591160220994477
2020-05,walk_forward,0.02238805970149249,-0.033333333333333326,-0.021739130434782594,-0.023809523809523836
2020-06,walk_forward,0.0,-0.038461538461538436,-0.021367521367521347,-0.038461538461538436
2020-07,walk_forward,-0.017241379310344807,-0.043478260869565244,-0.03278688524590162,-0.04773869346733667
2020-08,walk_forward,-0.0032258064516129115,-0.03763440860215056,-0.03278688524590162,-0.04634146341463413
2020-09,walk_forward,0.0,-0.026315789473684237,-0.036585365853658514,-0.047619047619047616
2020-10,walk_forward,0.0,-0.020833333333333315,-0.04545454545454547,-0.04672897196261683
2020-11,walk_forward,-0.011764705882352955,-0.02525252525252525,-0.03731343283582089,-0.05045871559633025
2020-12,walk_forward,-0.020000000000000018,-0.024752475247524774,-0.04285714285714287,-0.06053811659192826
2021-01,walk_forward,-0.01648351648351648,-0.019230769230769218,-0.05555555555555558,-0.06387665198237885
